OF_TURN,HYDRANT,MAPPAGE,SEQ__,ZIPCODE,OF_TURNS,STATION,DIRECTION,COMPLETED,FLOW,NUM,LOCATION,STATIC_PRE,CLASS,CONDITION,VALVE_MAKE,DATE_INSPE,HYDRANT_ID,LONGITUDE,VALVE_SIZE,TYPE0,DATE_INSTA,SIZE,CITY,NAME,DISTRICT,VALVE_TYPE,MAKE,ATLAS_PAGE,ADDRESS,LATITUDE,TYPE,RESIDUAL_P
,,1678,0005,74134,0,27,S,0,0,4606,,0,,,,,00460-0005,-95.780218,0,,,0,TULSA,LYNNLANE,5,,,00460,4606 S LYNN  LN  RD,36.095868,RD,0
,,,0026,74015,0,31,,0,0,0,,0,,,,,00731-0026,-95.732874,0,,,0,,,2,,,00731,,36.240454,,0
,,,0,74131,0,6,,0,0,0,,0,,,,,0-0,-96.052786,0,,,0,,,3,,,0,,36.055229,,0
,,1678,0009,74012,0,27,,0,0,0,,0,,,,,00460-0009,-95.780958,0,,,0,TULSA,,5,,,00460,,36.095071,,0
,,1678,0010,74012,0,27,,0,0,0,,0,,,,,00460-0010,-95.781993,0,,,0,TULSA,,5,,,00460,,36.095071,,0
,,,0,74131,0,6,,0,0,0,,0,,,,,0-0,-96.056503,0,,,0,,,3,,,0,,36.050373,,0
,,1678,0004,74134,0,27,S,0,0,4606,,0,,,,,00460-0004,-95.781993,0,,,0,TULSA,LYNNLANE,5,,,00460,4606 S LYNN  LN  RD,36.095888,RD,0
,,,0,,0,29,,0,0,0,,0,,,,,0-0,0.0,0,,,0,,,3,,,0,,0.0,,0
,,,0,,0,29,,0,0,0,,0,,,,,0-0,0.0,0,,,0,,,3,,,0,,0.0,,0
,,,0,,0,0,,0,0,0,,0,,,,,0-0,0.0,0,,,0,,,0,,,0,,0.0,,0
,,,0002,74015,0,31,,0,0,0,,0,,,,,00730-0002,-95.742589,0,,,0,,,2,,,00730,,36.242708,,0
,,,0,74131,0,6,,0,0,0,,0,,,,,0-0,-96.062288,0,,,0,,,3,,,0,,36.046134,,0
,,,0,,0,29,,0,0,0,,0,,,,,0-0,0.0,0,,,0,,,3,,,0,,0.0,,0
,,,0,,0,32,,0,0,0,,0,,,,,0-0,0.0,0,,,0,,,5,,,0,,0.0,,0
,,,0,74131,0,6,,0,0,0,,0,,,,,0-0,-96.060754,0,,,0,,,3,,,0,,36.074726,,0
,,,0,,0,32,,0,0,0,,0,,,,,0-0,0.0,0,,,0,,,5,,,0,,0.0,,0
,,,0,,0,32,,0,0,0,,0,,,,,0-0,0.0,0,,,0,,,5,,,0,,0.0,,0
,,,0008,74015,0,30,,0,0,0,,0,,,,,00636-0008,-95.761479,0,,,0,CATOOSA,,2,,,00636,,36.165343,,0
,,,0,74131,0,6,,0,0,0,,0,,,,,0-0,-96.065112,0,,,0,,,3,,,0,,36.074666,,0
,,,0,,0,32,,0,0,0,,0,,,,,0-0,0.0,0,,,0,,,5,,,0,,0.0,,0
,,,0,,0,29,,0,0,0,,0,,,,,0-0,0.0,0,,,0,,,3,,,0,,0.0,,0
,,,0,74131,0,6,,0,0,0,,0,,,,,0-0,-96.058612,0,,,0,,,3,,,0,,36.072775,,0
,,,0,,0,32,,0,0,0,,0,,,,,0-0,0.0,0,,,0,,,5,,,0,,0.0,,0
,,,0,,0,32,,0,0,0,,0,,,,,0-0,0.0,0,,,0,,,5,,,0,,0.0,,0
,,,0,,0,0,,0,0,0,,0,,,,,0-0,0.0,0,,,0,,,0,,,0,,0.0,,0
,,,0009,74015,0,0,,0,0,0,,0,,,,,00635-0009,-95.754675,0,,,0,CATOOSA,,0,,,00635,,36.173762,,0
,,,0,74131,0,6,,0,0,0,,0,,,,,0-0,-96.058464,0,,,0,,,3,,,0,,36.075343,,0
,,,0,,0,32,,0,0,0,,0,,,,,0-0,0.0,0,,,0,,,5,,,0,,0.0,,0
,,,0,,0,29,,0,0,0,,0,,,,,0-0,0.0,0,,,0,,,3,,,0,,0.0,,0
,,930,0003,74131,0,6,,0,0,0,,0,,,,,00569-0003,-96.065137,0,,,0,,,3,,,00569,,36.063417,,0
,,,0,,0,32,,0,0,0,,0,,,,,0-0,0.0,0,,,0,,,5,,,0,,0.0,,0
,,1678,0007,74134,0,27,S,0,0,4606,,0,,,,,00460-0007,-95.780613,0,,,0,TULSA,LYNNLANE,5,,,00460,4606 S LYNN  LN  RD,36.096664,RD,0
,,,0,74015,0,0,,0,0,0,,0,,,,,00635-0,-95.753075,0,,,0,CATOOSA,,0,,,00635,,36.175629,,0
